study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,t_word,reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,loop.slider.response,loop.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials.textbox.text,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,6,6,0,,,_o_rd,board,old,board,[-0.385],[-0.016666666666666666],[1],[0],[0],[3.7465821001678705],[None],,,,,0,6,6,10,33.90274939965457,,,,,,,,33.87801539991051,33.90274939965457,33.90274939965457,33.90274939965457,0.0024814000353217125,37.62528509972617,board,[-0.385],[-0.016666666666666666],[1],[0],[0],[3.7465821001678705],[None],02,001,2024-11-06_15h11.14.323,Word Priming Task,2024.2.1post4,59.94251509504285,2024-11-06 15h11.38.807643 +0530,
,7,7,0,,,t_sh_t,tshirt,old,tshirt,[-0.385],[-0.016666666666666666],[1],[0],[0],[2.861761700361967],[None],,,,,0,7,7,2,37.65263579972088,,,,,,,,37.628140799701214,37.65263579972088,37.65263579972088,37.65263579972088,0.002752699889242649,40.49065209971741,tshirt,[-0.385],[-0.016666666666666666],[1],[0],[0],[2.861761700361967],[None],02,001,2024-11-06_15h11.14.323,Word Priming Task,2024.2.1post4,59.94251509504285,2024-11-06 15h11.38.807643 +0530,
,8,8,0,,,_ru__e,cruise,old,cruise,[-0.385],[-0.016666666666666666],[1],[0],[0],[7.762759900186211],[None],,,,,0,8,8,6,40.51934379991144,,,,,,,,40.49442549981177,40.51934379991144,40.51934379991144,40.51934379991144,0.003612200263887644,48.25787149975076,cruise,[-0.385],[-0.016666666666666666],[1],[0],[0],[7.762759900186211],[None],02,001,2024-11-06_15h11.14.323,Word Priming Task,2024.2.1post4,59.94251509504285,2024-11-06 15h11.38.807643 +0530,
,9,9,0,,,_a_bl_e,marble,old,table,[-0.385],[-0.016666666666666666],[1],[0],[0],[3.2638678001239896],[None],,,,,0,9,9,11,48.28627019980922,,,,,,,,48.26024949969724,48.28627019980922,48.28627019980922,48.28627019980922,0.0022619999945163727,51.52479669963941,table,[-0.385],[-0.016666666666666666],[1],[0],[0],[3.2638678001239896],[None],02,001,2024-11-06_15h11.14.323,Word Priming Task,2024.2.1post4,59.94251509504285,2024-11-06 15h11.38.807643 +0530,
,10,10,0,,,ta_l_e,table,new,table,[-0.385],[-0.016666666666666666],[1],[0],[0],[3.2296825000084937],[None],,,,,0,10,10,15,51.55272139981389,,,,,,,,51.52747659990564,51.55272139981389,51.55272139981389,51.55272139981389,0.0025417995639145374,54.757850300055,table,[-0.385],[-0.016666666666666666],[1],[0],[0],[3.2296825000084937],[None],02,001,2024-11-06_15h11.14.323,Word Priming Task,2024.2.1post4,59.94251509504285,2024-11-06 15h11.38.807643 +0530,
,11,11,0,,,p_s_tr_,pastry,old,pastry,[-0.385],[-0.016666666666666666],[1],[0],[0],[3.546423400286585],[None],,,,,0,11,11,4,54.78568420000374,,,,,,,,54.76077639963478,54.78568420000374,54.78568420000374,54.78568420000374,0.0028017000295221806,58.30790210003033,pastry,[-0.385],[-0.016666666666666666],[1],[0],[0],[3.546423400286585],[None],02,001,2024-11-06_15h11.14.323,Word Priming Task,2024.2.1post4,59.94251509504285,2024-11-06 15h11.38.807643 +0530,
,12,12,0,,,_o_se,mouse,old,m,[],[],[],[],[],[],[],,,,,0,12,12,3,58.3356498000212,,,,,,,,58.31043399963528,58.3356498000212,58.3356498000212,58.3356498000212,0.0024350997991859913,68.3229987998493,m,[],[],[],[],[],[],[],02,001,2024-11-06_15h11.14.323,Word Priming Task,2024.2.1post4,59.94251509504285,2024-11-06 15h11.38.807643 +0530,
,13,13,0,,,bo_t_e,bottle,new,bottle,[-0.385],[-0.016666666666666666],[1],[0],[0],[3.0483424002304673],[None],,,,,0,13,13,18,68.35219769971445,,,,,,,,68.3254595999606,68.35219769971445,68.35219769971445,68.35219769971445,0.017443899996578693,71.37461069971323,bottle,[-0.385],[-0.016666666666666666],[1],[0],[0],[3.0483424002304673],[None],02,001,2024-11-06_15h11.14.323,Word Priming Task,2024.2.1post4,59.94251509504285,2024-11-06 15h11.38.807643 +0530,
,14,14,0,,,p_st_r,poster,old,poster,[-0.385],[-0.016666666666666666],[1],[0],[0],[6.446685899980366],[None],,,,,0,14,14,9,71.40208629984409,,,,,,,,71.37696729972959,71.40208629984409,71.40208629984409,71.40208629984409,0.002249200362712145,77.82436800003052,poster,[-0.385],[-0.016666666666666666],[1],[0],[0],[6.446685899980366],[None],02,001,2024-11-06_15h11.14.323,Word Priming Task,2024.2.1post4,59.94251509504285,2024-11-06 15h11.38.807643 +0530,
,15,15,0,,,c_m_ra,camera,new,camera,[-0.385],[-0.016666666666666666],[1],[0],[0],[2.9126420998945832],[None],,,,,0,15,15,19,77.83635320002213,,,,,,,,77.82678500004113,77.83635320002213,77.83635320002213,77.83635320002213,0.002274099737405777,80.74014669982716,camera,[-0.385],[-0.016666666666666666],[1],[0],[0],[2.9126420998945832],[None],02,001,2024-11-06_15h11.14.323,Word Priming Task,2024.2.1post4,59.94251509504285,2024-11-06 15h11.38.807643 +0530,
,16,16,0,,,_oo_,book,old,book,[-0.385],[-0.016666666666666666],[1],[0],[0],[2.4639607002027333],[None],,,,,0,16,16,13,80.7529762997292,,,,,,,,80.74292059987783,80.7529762997292,80.7529762997292,80.7529762997292,0.002635400276631117,83.2077012998052,book,[-0.385],[-0.016666666666666666],[1],[0],[0],[2.4639607002027333],[None],02,001,2024-11-06_15h11.14.323,Word Priming Task,2024.2.1post4,59.94251509504285,2024-11-06 15h11.38.807643 +0530,
,17,17,0,,,l_pt_p,laptop,old,laptop,[-0.385],[-0.016666666666666666],[1],[0],[0],[3.063498799689114],[None],,,,,0,17,17,0,83.23531359992921,,,,,,,,83.21004529995844,83.23531359992921,83.23531359992921,83.23531359992921,0.0022315001115202904,86.27433769963682,laptop,[-0.385],[-0.016666666666666666],[1],[0],[0],[3.063498799689114],[None],02,001,2024-11-06_15h11.14.323,Word Priming Task,2024.2.1post4,59.94251509504285,2024-11-06 15h11.38.807643 +0530,
,18,18,0,,,k_y_,keys,old,keys,[-0.385],[-0.016666666666666666],[1],[0],[0],[2.1625374001450837],[None],,,,,0,18,18,8,86.30222289962694,,,,,,,,86.27655769977719,86.30222289962694,86.30222289962694,86.30222289962694,0.0021020001731812954,88.43981749983504,keys,[-0.385],[-0.016666666666666666],[1],[0],[0],[2.1625374001450837],[None],02,001,2024-11-06_15h11.14.323,Word Priming Task,2024.2.1post4,59.94251509504285,2024-11-06 15h11.38.807643 +0530,
,19,19,0,,,v_s_,vase,new,vase,[-0.385],[-0.016666666666666666],[1],[0],[0],[2.4628433999605477],[None],,,,,0,19,19,17,88.46835740003735,,,,,,,,88.44421770004556,88.46835740003735,88.46835740003735,88.46835740003735,0.004252600017935038,90.90785499988124,vase,[-0.385],[-0.016666666666666666],[1],[0],[0],[2.4628433999605477],[None],02,001,2024-11-06_15h11.14.323,Word Priming Task,2024.2.1post4,59.94251509504285,2024-11-06 15h11.38.807643 +0530,
