study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,t_word,reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,loop.slider.response,loop.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials.textbox.text,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
pastry,0,0,0,1.04,1.6516573000699282,,,,,,,,,,,,0,0,0,9,,,,,0.0592744997702539,,0.04075799975544214,0.0592744997702539,0.0592744997702539,1.708295399788767,1.04,1.6516573000699282,,,,,,,,,,,,,,,02,001,2024-11-06_15h11.14.323,Word Priming Task,2024.2.1post4,59.94251509504285,2024-11-06 15h11.38.807643 +0530,
board,1,1,0,1.04,0.8128341999836266,,,,,,,,,,,,0,1,1,4,,,,,1.7362265000119805,,1.7131742998026311,1.7362265000119805,1.7362265000119805,2.5406861999072134,1.04,0.8128341999836266,,,,,,,,,,,,,,,02,001,2024-11-06_15h11.14.323,Word Priming Task,2024.2.1post4,59.94251509504285,2024-11-06 15h11.38.807643 +0530,
book,2,2,0,1.04,1.1487704999744892,,,,,,,,,,,,0,2,2,0,,,,,2.5697241998277605,,2.5436058999039233,2.5697241998277605,2.5697241998277605,3.707547300029546,1.04,1.1487704999744892,,,,,,,,,,,,,,,02,001,2024-11-06_15h11.14.323,Word Priming Task,2024.2.1post4,59.94251509504285,2024-11-06 15h11.38.807643 +0530,
laptop,3,3,0,1.04,0.7976619000546634,,,,,,,,,,,,0,3,3,5,,,,,3.7360763996839523,,3.7103242999874055,3.7360763996839523,3.7360763996839523,4.524288399610668,1.04,0.7976619000546634,,,,,,,,,,,,,,,02,001,2024-11-06_15h11.14.323,Word Priming Task,2024.2.1post4,59.94251509504285,2024-11-06 15h11.38.807643 +0530,
phone,4,4,0,1.04,0.8621521997265518,,,,,,,,,,,,0,4,4,2,,,,,4.553170999977738,,4.5296876998618245,4.553170999977738,4.553170999977738,5.407725299708545,1.04,0.8621521997265518,,,,,,,,,,,,,,,02,001,2024-11-06_15h11.14.323,Word Priming Task,2024.2.1post4,59.94251509504285,2024-11-06 15h11.38.807643 +0530,
marble,5,5,0,1.04,0.9304507998749614,,,,,,,,,,,,0,5,5,3,,,,,5.436170499771833,,5.411242099944502,5.436170499771833,5.436170499771833,6.3573072999715805,1.04,0.9304507998749614,,,,,,,,,,,,,,,02,001,2024-11-06_15h11.14.323,Word Priming Task,2024.2.1post4,59.94251509504285,2024-11-06 15h11.38.807643 +0530,
poster,6,6,0,1.04,0.8653211002238095,,,,,,,,,,,,0,6,6,14,,,,,6.370407299604267,,6.360216499771923,6.370407299604267,6.370407299604267,7.240812100004405,1.04,0.8653211002238095,,,,,,,,,,,,,,,02,001,2024-11-06_15h11.14.323,Word Priming Task,2024.2.1post4,59.94251509504285,2024-11-06 15h11.38.807643 +0530,
keys,7,7,0,1.04,0.9812136003747582,,,,,,,,,,,,0,7,7,13,,,,,7.269962999969721,,7.243830599822104,7.269962999969721,7.269962999969721,8.241588899865746,1.04,0.9812136003747582,,,,,,,,,,,,,,,02,001,2024-11-06_15h11.14.323,Word Priming Task,2024.2.1post4,59.94251509504285,2024-11-06 15h11.38.807643 +0530,
t-shirt,8,8,0,1.04,0.7057644999586046,,,,,,,,,,,,0,8,8,7,,,,,8.269696899689734,,8.252887699753046,8.269696899689734,8.269696899689734,8.975595199968666,1.04,0.7057644999586046,,,,,,,,,,,,,,,02,001,2024-11-06_15h11.14.323,Word Priming Task,2024.2.1post4,59.94251509504285,2024-11-06 15h11.38.807643 +0530,
cruise,9,9,0,1.04,0.6803109999746084,,,,,,,,,,,,0,9,9,11,,,,,9.002574499696493,,8.978661899920553,9.002574499696493,9.002574499696493,9.674682299606502,1.04,0.6803109999746084,,,,,,,,,,,,,,,02,001,2024-11-06_15h11.14.323,Word Priming Task,2024.2.1post4,59.94251509504285,2024-11-06 15h11.38.807643 +0530,
case,10,10,0,1.04,0.715121400076896,,,,,,,,,,,,0,10,10,10,,,,,9.687164799775928,,9.67730259988457,9.687164799775928,9.687164799775928,10.408067199867219,1.04,0.715121400076896,,,,,,,,,,,,,,,02,001,2024-11-06_15h11.14.323,Word Priming Task,2024.2.1post4,59.94251509504285,2024-11-06 15h11.38.807643 +0530,
chart,11,11,0,1.04,0.7470386996865273,,,,,,,,,,,,0,11,11,6,,,,,10.436321299988776,,10.411049799993634,10.436321299988776,10.436321299988776,11.174502199981362,1.04,0.7470386996865273,,,,,,,,,,,,,,,02,001,2024-11-06_15h11.14.323,Word Priming Task,2024.2.1post4,59.94251509504285,2024-11-06 15h11.38.807643 +0530,
police,12,12,0,1.04,0.7139129000715911,,,,,,,,,,,,0,12,12,12,,,,,11.202855499926955,,11.17732619959861,11.202855499926955,11.202855499926955,11.907959699630737,1.04,0.7139129000715911,,,,,,,,,,,,,,,02,001,2024-11-06_15h11.14.323,Word Priming Task,2024.2.1post4,59.94251509504285,2024-11-06 15h11.38.807643 +0530,
cushion,13,13,0,1.04,0.6966125997714698,,,,,,,,,,,,0,13,13,1,,,,,11.936282499693334,,11.911591699812561,11.936282499693334,11.936282499693334,12.624347699806094,1.04,0.6966125997714698,,,,,,,,,,,,,,,02,001,2024-11-06_15h11.14.323,Word Priming Task,2024.2.1post4,59.94251509504285,2024-11-06 15h11.38.807643 +0530,
mouse,14,14,0,1.04,0.6491141999140382,,,,,,,,,,,,0,14,14,8,,,,,12.652348299976438,,12.627058299724013,12.652348299976438,12.652348299976438,13.290734499692917,1.04,0.6491141999140382,,,,,,,,,,,,,,,02,001,2024-11-06_15h11.14.323,Word Priming Task,2024.2.1post4,59.94251509504285,2024-11-06 15h11.38.807643 +0530,
,0,0,0,,,_ha_t,chart,old,chart,[-0.49],[0.03],[1],[0],[0],[4.120643999893218],[None],,,,,0,0,0,1,13.319074200000614,,,,,,,,13.304042499978095,13.319074200000614,13.319074200000614,13.319074200000614,0.013310699723660946,17.425276899710298,chart,[-0.49],[0.03],[1],[0],[0],[4.120643999893218],[None],02,001,2024-11-06_15h11.14.323,Word Priming Task,2024.2.1post4,59.94251509504285,2024-11-06 15h11.38.807643 +0530,
,1,1,0,,,_ho_e,phone,old,phone,[-0.49],[0.03],[1],[0],[0],[3.712918299715966],[None],,,,,0,1,1,12,17.452616199851036,,,,,,,,17.427627800032496,17.452616199851036,17.452616199851036,17.452616199851036,0.002233400009572506,21.141195700038224,phone,[-0.49],[0.03],[1],[0],[0],[3.712918299715966],[None],02,001,2024-11-06_15h11.14.323,Word Priming Task,2024.2.1post4,59.94251509504285,2024-11-06 15h11.38.807643 +0530,
,2,2,0,,,p_li_e,police,old,police,[-0.49],[0.03],[1],[0],[0],[3.214477399829775],[None],,,,,0,2,2,7,21.153843599837273,,,,,,,,21.143591200001538,21.153843599837273,21.153843599837273,21.153843599837273,0.0022666999138891697,24.358727499842644,police,[-0.49],[0.03],[1],[0],[0],[3.214477399829775],[None],02,001,2024-11-06_15h11.14.323,Word Priming Task,2024.2.1post4,59.94251509504285,2024-11-06 15h11.38.807643 +0530,
,3,3,0,,,p_nc_l,pencil,new,pencil,[-0.49],[0.03],[1],[0],[0],[3.2633075998164713],[None],,,,,0,3,3,16,24.386030599940568,,,,,,,,24.36108429962769,24.386030599940568,24.386030599940568,24.386030599940568,0.0022408002987504005,27.62500049965456,pencil,[-0.49],[0.03],[1],[0],[0],[3.2633075998164713],[None],02,001,2024-11-06_15h11.14.323,Word Priming Task,2024.2.1post4,59.94251509504285,2024-11-06 15h11.38.807643 +0530,
,4,4,0,,,c_s_,case,old,case,[-0.385],[-0.016666666666666666],[1],[0],[0],[2.5468129999935627],[None],,,,,0,4,4,5,27.63713949965313,,,,,,,,27.627396499738097,27.63713949965313,27.63713949965313,27.63713949965313,0.002276299986988306,30.174858399666846,case,[-0.385],[-0.016666666666666666],[1],[0],[0],[2.5468129999935627],[None],02,001,2024-11-06_15h11.14.323,Word Priming Task,2024.2.1post4,59.94251509504285,2024-11-06 15h11.38.807643 +0530,
,5,5,0,,,c_s_io_,cushion,old,cushion,[-0.385],[-0.016666666666666666],[1],[0],[0],[3.6972986003383994],[None],,,,,0,5,5,14,30.187143499962986,,,,,,,,30.177270299755037,30.187143499962986,30.187143499962986,30.187143499962986,0.002290000207722187,33.87530519999564,cushion,[-0.385],[-0.016666666666666666],[1],[0],[0],[3.6972986003383994],[None],02,001,2024-11-06_15h11.14.323,Word Priming Task,2024.2.1post4,59.94251509504285,2024-11-06 15h11.38.807643 +0530,
